country_code,latitude,longitude,country,region,income_group
IRQ,33.223191,43.679291,Iraq,Middle East & North Africa,Upper middle income
IRL,53.41291,-8.24389,Ireland,Europe & Central Asia,High income
IMN,54.236107,-4.548056,Isle of Man,Europe & Central Asia,High income
ISR,31.046051,34.851612,Israel,Middle East & North Africa,High income
ITA,41.87194,12.56738,Italy,Europe & Central Asia,High income
JAM,18.109581,-77.297508,Jamaica,Latin America & Caribbean,Upper middle income
JPN,36.204824,138.252924,Japan,East Asia & Pacific,High income
JOR,30.585164,36.238414,Jordan,Middle East & North Africa,Lower middle income
KAZ,48.019573,66.923684,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,-0.023559,37.906193,Kenya,Sub-Saharan Africa,Lower middle income
KIR,-3.370417,-168.734039,Kiribati,East Asia & Pacific,Lower middle income
XKX,42.602636,20.902977,Kosovo,Europe & Central Asia,Upper middle income
KWT,29.31166,47.481766,Kuwait,Middle East & North Africa,High income
KGZ,41.20438,74.766098,Kyrgyzstan,Europe & Central Asia,Lower middle income
LAO,19.85627,102.495496,Laos,East Asia & Pacific,Lower middle income
LVA,56.879635,24.603189,Latvia,Europe & Central Asia,High income
LBN,33.854721,35.862285,Lebanon,Middle East & North Africa,Lower middle income
LSO,-29.609988,28.233608,Lesotho,Sub-Saharan Africa,Lower middle income
LBR,6.428055,-9.429499,Liberia,Sub-Saharan Africa,Low income
LBY,26.3351,17.228331,Libya,Middle East & North Africa,Upper middle income
LIE,47.166,9.555373,Liechtenstein,Europe & Central Asia,High income
LTU,55.169438,23.881275,Lithuania,Europe & Central Asia,High income
LUX,49.815273,6.129583,Luxembourg,Europe & Central Asia,High income
MAC,22.198745,113.543873,Macau,East Asia & Pacific,High income
MDG,-18.766947,46.869107,Madagascar,Sub-Saharan Africa,Low income
MWI,-13.254308,34.301525,Malawi,Sub-Saharan Africa,Low income
MYS,4.210484,101.975766,Malaysia,East Asia & Pacific,Upper middle income
MDV,3.202778,73.22068,Maldives,South Asia,Upper middle income
MLI,17.570692,-3.996166,Mali,Sub-Saharan Africa,Low income
MLT,35.937496,14.375416,Malta,Middle East & North Africa,High income
MHL,7.131474,171.184478,Marshall Islands,East Asia & Pacific,Upper middle income
MRT,21.00789,-10.940835,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,-20.348404,57.552152,Mauritius,Sub-Saharan Africa,Upper middle income
MEX,23.634501,-102.552784,Mexico,Latin America & Caribbean,Upper middle income
FSM,7.425554,150.550812,Micronesia,East Asia & Pacific,Lower middle income
MDA,47.411631,28.369885,Moldova,Europe & Central Asia,Upper middle income
